cluster,max_label,max_proportion
0,subf,0.20034246
1,flat,0.29889297
2,revhairpin,0.21745153
3,subp,0.20933522
4,hairpin,0.21259843
5,revhairpin,0.21675774
6,revhairpin,0.21320495
7,hairpin,0.21140473
8,flat,0.38325992
9,subp,0.25065273
10,subp,0.23885918
11,revhairpin,0.19732441
12,flat,0.27540985
13,flat,0.38372093
14,flat,0.27966103
15,hairpin,0.22186495
16,hairpin,0.21898735
17,hairpin,0.21343873
18,hairpin,0.22422259
19,hairpin,0.23423423
20,hairpin,0.20681818
21,subf,0.20331325
22,revhairpin,0.22310127
23,hairpin,0.21160042
24,hairpin,0.21316615
25,subp,0.24470589
26,hairpin,0.19785276
27,flat,0.45801526
