cluster,max_label,max_proportion
0,subp,0.35928962
1,revhairpin,0.40770102
2,subp,0.54545456
3,hairpin,0.37724552
4,revhairpin,0.38714734
5,subf,0.4385965
6,hairpin,0.5108108
7,revhairpin,0.3119266
8,revhairpin,0.25719425
9,subp,0.46842104
10,subp,0.4860051
11,hairpin,0.19217686
12,hairpin,0.36284047
13,subf,0.5113636
14,subp,0.39803094
15,subf,0.36486486
16,subf,0.45714286
17,revhairpin,0.39052287
18,subf,0.42204303
19,subf,0.37048194
20,hairpin,0.5053476
21,hairpin,0.4057725
22,revhairpin,0.23087622
23,revhairpin,0.39105338
24,hairpin,0.48902196
25,revhairpin,0.3789809
26,hairpin,0.52380955
27,hairpin,0.3800623
