cluster,max_label,max_proportion
0,hairpin,0.2012012
1,revhairpin,0.20824742
2,subf,0.20750293
3,hairpin,0.19399539
4,revhairpin,0.22742857
5,revhairpin,0.22583927
6,revhairpin,0.20710059
7,revhairpin,0.22089948
8,flat,0.21033211
9,revhairpin,0.20460358
10,hairpin,0.22297297
11,flat,0.35076922
12,hairpin,0.20413123
13,hairpin,0.21864952
14,subp,0.20918368
15,subp,0.27226463
16,flat,0.23300971
17,hairpin,0.21229698
18,flat,0.23029046
19,subp,0.25263157
20,hairpin,0.22539683
21,subp,0.25
22,subp,0.2631579
23,flat,0.27884614
