cluster,max_label,max_proportion
0,subp,0.22462562
1,flat,0.24358974
2,flat,0.21428572
3,flat,0.20864661
4,flat,0.20181818
5,subf,0.21681997
6,revhairpin,0.20722891
7,subp,0.22612086
8,flat,0.21556886
9,hairpin,0.22095436
10,revhairpin,0.21725732
11,subp,0.24452555
12,hairpin,0.20782396
13,hairpin,0.22264151
14,subp,0.24119718
15,hairpin,0.23093449
16,subf,0.3227513
17,flat,0.3978159
18,revhairpin,0.19950433
19,revhairpin,0.2139535
20,hairpin,0.22222222
21,hairpin,0.21094641
22,hairpin,0.24609375
23,revhairpin,0.20918368
