cluster,max_label,max_proportion
0,10a11,0.055555556
1,2a7,0.104166664
2,7a10,0.07692308
3,2a5,0.0882353
4,3a5,0.071428575
5,11a12,0.08510638
6,5a9,0.078125
7,2a5,0.10144927
8,5a11,0.0882353
9,8a9,0.054545455
10,2a5,0.13333334
11,11a12,0.11764706
12,2a3,0.11111111
13,3a8,0.057971016
14,7a8,0.12244898
15,3a4,0.10169491
16,3a8,0.05357143
17,2a7,0.06521739
18,2a3,0.6363636
19,11a12,0.2
20,3a8,0.0625
21,4a9,0.054054055
22,3a8,0.069767445
23,9a10,0.07586207
24,2a3,0.084745765
25,8a9,0.078947365
26,5a11,0.060606062
27,9a11,0.078947365
28,2a3,0.12345679
29,8a11,0.078431375
30,2a7,0.09090909
31,5a6,0.06741573
32,7a8,0.06896552
33,9a10,0.0625
34,3a4,0.18421052
35,3a5,0.067567565
36,3a8,0.057971016
37,4a9,0.06122449
38,2a5,0.14285715
39,2a7,0.07575758
40,4a9,0.12727273
41,2a7,0.22727273
42,2a3,0.14
43,3a5,0.071428575
44,2a3,0.31034482
45,2a3,0.21428572
46,10a11,0.11111111
47,11a12,0.112676054
48,2a3,0.08450704
49,2a3,0.1
50,9a10,0.1125
51,8a9,0.09836066
52,4a9,0.064935066
53,4a9,0.057692308
54,5a9,0.12244898
55,7a8,0.09352518
56,2a7,0.083333336
57,9a10,0.11
58,4a7,0.06
59,5a6,0.054421768
60,11a12,0.071428575
61,7a8,0.083333336
62,2a3,0.25
63,2a7,0.125
64,7a11,0.071428575
65,2a3,0.125
66,2a7,0.09677419
67,2a7,0.11111111
68,7a11,0.08
69,4a7,0.09756097
70,2a5,0.103896104
71,5a6,0.10344828
72,3a4,0.07692308
73,2a3,0.5263158
74,6a11,0.06944445
75,10a11,0.09615385
76,6a7,0.07692308
77,5a6,0.083333336
78,5a11,0.05
79,2a3,0.24324325
80,5a6,0.074074075
81,2a5,0.09090909
82,2a5,0.12280702
83,5a11,0.074074075
