cluster,max_label,max_proportion
0,2a7,0.07526882
1,2a5,0.10526316
2,5a11,0.065789476
3,2a7,0.07920792
4,5a9,0.051282052
5,2a7,0.07575758
6,2a7,0.09090909
7,3a7,0.054054055
8,6a7,0.0661157
9,11a12,0.066985644
10,10a11,0.06896552
11,3a4,0.12264151
12,11a12,0.07079646
13,10a11,0.074074075
14,2a3,0.175
15,3a8,0.05109489
16,11a12,0.08
17,3a7,0.058139537
18,5a6,0.0546875
19,5a6,0.050314464
20,3a4,0.08988764
21,10a11,0.10810811
22,9a11,0.065656565
23,8a9,0.083333336
24,7a10,0.05970149
25,4a5,0.06
26,2a3,0.07070707
27,2a5,0.06532663
28,2a7,0.07594936
29,5a11,0.06382979
30,2a7,0.083333336
31,4a5,0.055555556
32,4a7,0.06849315
33,5a11,0.05479452
34,8a9,0.071428575
35,2a3,0.3983051
36,3a4,0.086419754
37,9a11,0.059139784
38,11a12,0.0877193
39,9a10,0.0952381
40,7a9,0.049689442
41,2a5,0.1
