cluster,max_label,max_proportion
0,4a7,0.055214725
1,6a7,0.094827585
2,3a4,0.12727273
3,9a11,0.06735751
4,3a8,0.10204082
5,2a3,0.2769231
6,4a5,0.06306306
7,2a7,0.070866145
8,9a11,0.07070707
9,4a5,0.08695652
10,7a12,0.06422018
11,3a4,0.10869565
12,11a12,0.06358381
13,10a11,0.064705886
14,3a4,0.058333334
15,2a5,0.07594936
16,7a10,0.05042017
17,11a12,0.0989011
18,5a11,0.06666667
19,2a7,0.13636364
20,2a5,0.054545455
21,2a5,0.06382979
22,3a7,0.074074075
23,2a3,0.3939394
24,6a11,0.058295965
25,4a5,0.118421055
26,11a12,0.069767445
27,2a5,0.055555556
28,3a4,0.07619048
29,5a6,0.06140351
30,3a7,0.05882353
31,3a4,0.12727273
32,10a11,0.0882353
33,7a10,0.059210528
34,3a5,0.058333334
35,6a11,0.057142857
36,4a9,0.05882353
37,2a3,0.25641027
38,9a11,0.054421768
39,7a12,0.06382979
40,4a7,0.05940594
41,2a5,0.094339624
