cluster,max_label,max_proportion
0,6a7,0.052884616
1,2a7,0.06451613
2,8a11,0.12068965
3,5a7,0.059322033
4,3a5,0.055214725
5,9a10,0.06870229
6,2a5,0.074324325
7,7a10,0.04597701
8,7a10,0.06930693
9,10a11,0.05970149
10,10a11,0.05035971
11,5a6,0.052173913
12,2a7,0.062937066
13,10a11,0.071428575
14,2a3,0.13513513
15,7a10,0.053097345
16,2a3,0.08974359
17,2a3,0.13953489
18,11a12,0.06878307
19,9a10,0.097087376
20,5a6,0.06962025
21,2a3,0.11111111
22,9a11,0.05882353
23,9a11,0.064935066
24,11a12,0.15
25,2a3,0.11702128
26,9a11,0.056074765
27,2a3,0.16949153
28,11a12,0.08695652
29,2a3,0.11965812
30,2a3,0.12987013
31,7a8,0.08510638
32,11a12,0.04819277
33,4a5,0.10169491
34,4a9,0.06451613
35,7a12,0.09210526
36,2a3,0.16666667
37,8a11,0.16666667
38,2a7,0.08235294
39,7a10,0.06382979
40,2a3,0.15277778
41,2a7,0.086419754
