cluster,max_label,max_proportion
0,2a7,0.06306306
1,7a11,0.0591133
2,2a3,0.08256881
3,5a6,0.060606062
4,2a5,0.06315789
5,2a3,0.30708662
6,2a7,0.104
7,2a7,0.05762712
8,4a7,0.04819277
9,11a12,0.06167401
10,7a11,0.056603774
11,3a4,0.11162791
12,11a12,0.069767445
13,11a12,0.06349207
14,2a7,0.09009009
15,2a7,0.051282052
16,11a12,0.06965174
17,2a3,0.23300971
18,4a5,0.055555556
19,3a5,0.084337346
20,11a12,0.06349207
21,2a3,0.09836066
22,3a4,0.07920792
23,7a10,0.058252428
24,3a4,0.059210528
25,10a11,0.06896552
26,3a8,0.057228915
27,11a12,0.05957447
