cluster,max_label,max_proportion
0,2a3,0.03577513
1,3a7,0.036224976
2,2a3,1.0
3,2a3,0.42857143
4,2a3,0.035820894
5,2a3,0.33333334
6,2a3,0.6666667
7,2a3,0.6666667
8,3a4,0.036474165
9,2a7,1.0
10,2a3,1.0
11,2a7,0.5
12,2a3,1.0
13,2a7,1.0
14,2a3,1.0
15,3a4,0.5
16,2a3,1.0
17,2a3,1.0
18,2a7,1.0
19,2a7,1.0
20,2a3,1.0
21,2a7,1.0
22,2a7,1.0
23,2a7,1.0
24,2a5,1.0
25,2a7,1.0
26,2a7,1.0
27,2a7,1.0
28,2a5,1.0
29,2a5,1.0
30,2a7,1.0
31,2a5,1.0
32,2a7,0.5
33,2a7,1.0
34,2a5,1.0
35,2a3,1.0
36,2a7,1.0
37,2a3,1.0
38,2a7,1.0
39,2a3,1.0
40,2a7,1.0
41,2a7,1.0
