cluster,max_label,max_proportion
0,2a3,0.038610037
1,8a9,0.5
2,10a11,0.2
3,5a9,0.14285715
4,7a12,0.5
5,9a11,0.5
6,5a8,1.0
7,2a7,0.33333334
8,7a10,1.0
9,7a8,0.16666667
10,7a12,0.5
11,8a9,0.33333334
12,7a12,0.1
13,4a9,0.16666667
14,7a12,1.0
15,7a12,0.5
16,7a10,0.33333334
17,7a10,0.33333334
18,4a9,0.16666667
19,11a12,1.0
20,7a8,0.14285715
21,7a10,0.33333334
22,11a12,1.0
23,7a12,0.1
24,7a8,0.16666667
25,4a9,0.33333334
26,4a9,0.16666667
27,4a9,0.33333334
28,7a10,0.33333334
29,5a8,1.0
30,2a7,1.0
31,5a11,1.0
32,7a12,0.5
33,7a12,0.5
34,9a10,1.0
35,7a12,1.0
36,5a11,0.16666667
37,2a7,1.0
38,10a11,1.0
39,5a8,1.0
40,7a12,0.5
41,3a8,0.5
42,7a12,0.14285715
43,9a10,1.0
44,4a9,0.16666667
45,7a10,0.33333334
46,5a11,0.5
47,3a8,0.125
48,7a8,0.5
49,5a11,0.14285715
50,7a9,0.5
51,11a12,1.0
52,4a9,0.16666667
53,7a12,1.0
54,5a11,0.14285715
55,11a12,1.0
56,7a8,1.0
57,2a7,1.0
58,4a9,1.0
59,3a5,1.0
60,7a10,1.0
61,7a12,1.0
62,7a12,1.0
63,3a8,1.0
64,3a8,0.125
65,7a12,1.0
66,7a10,0.33333334
67,10a11,1.0
68,9a10,1.0
69,9a10,1.0
70,2a7,1.0
71,11a12,1.0
72,10a11,1.0
73,11a12,1.0
74,5a9,1.0
75,5a8,1.0
76,2a7,1.0
77,4a9,1.0
78,10a11,1.0
79,7a9,1.0
80,8a9,1.0
81,6a11,1.0
82,4a9,1.0
83,9a10,1.0
84,3a8,1.0
85,2a7,1.0
86,3a8,1.0
87,11a12,1.0
88,7a10,0.33333334
89,8a11,1.0
90,5a8,1.0
91,6a11,1.0
92,5a11,1.0
93,9a10,1.0
94,9a11,1.0
95,3a8,1.0
96,7a10,1.0
97,10a11,1.0
98,10a11,1.0
99,3a8,1.0
100,4a9,1.0
101,5a9,1.0
102,3a8,1.0
103,7a12,1.0
104,7a10,1.0
105,7a10,1.0
106,7a10,0.33333334
107,11a12,1.0
108,7a12,1.0
109,11a12,1.0
110,9a10,1.0
111,7a10,1.0
