cluster,max_label,max_proportion
0,8a11,0.0647482
1,2a3,0.05487805
2,6a11,0.04601227
3,2a3,0.041474655
4,4a9,0.10714286
5,9a11,0.5
6,8a11,0.13793103
7,8a11,0.1923077
8,3a7,0.08571429
9,8a11,0.25
10,2a3,0.05106383
11,2a3,0.035856575
12,3a8,0.5
13,2a3,0.04245283
14,2a3,0.035785288
15,7a11,0.0862069
16,2a3,0.036363635
17,11a12,1.0
18,8a11,1.0
19,2a3,0.036474165
20,2a3,0.04556962
21,11a12,0.15
22,7a9,0.33333334
23,11a12,0.5
24,7a12,1.0
25,3a7,1.0
26,9a10,1.0
27,6a11,0.067307696
28,4a5,0.09677419
29,6a11,1.0
30,7a8,0.15384616
31,2a3,0.0625
32,8a9,1.0
33,8a11,0.5
34,7a11,0.33333334
35,7a9,1.0
36,7a12,1.0
37,2a5,1.0
38,7a9,1.0
39,11a12,1.0
40,4a9,1.0
41,5a9,1.0
42,9a11,0.1764706
43,9a10,1.0
44,7a12,1.0
45,7a12,0.5
46,7a8,0.33333334
47,7a12,1.0
48,7a12,1.0
49,11a12,1.0
50,11a12,0.75
51,10a11,1.0
52,3a8,1.0
53,5a7,1.0
54,10a11,1.0
55,9a10,1.0
56,7a11,0.2
57,3a8,1.0
58,8a11,0.11111111
59,2a5,1.0
60,11a12,1.0
61,11a12,1.0
62,11a12,0.33333334
63,8a11,1.0
64,2a3,0.036809817
65,5a6,1.0
66,4a9,1.0
67,4a9,0.5
68,3a8,1.0
69,6a11,1.0
