cluster,max_label,max_proportion
0,2a3,0.036709722
1,5a11,0.5
2,2a3,0.036474165
3,9a10,0.22222222
4,8a11,0.33333334
5,5a11,0.15384616
6,10a11,1.0
7,8a9,0.5
8,4a9,0.33333334
9,9a10,1.0
10,9a11,0.5
11,9a10,0.25
12,9a10,1.0
13,11a12,1.0
14,7a12,1.0
15,2a7,1.0
16,7a10,0.33333334
17,3a8,1.0
18,7a12,1.0
19,5a11,0.5
20,9a10,1.0
21,7a10,1.0
22,7a12,1.0
23,3a7,1.0
24,7a12,1.0
25,7a10,1.0
26,2a7,1.0
27,7a12,1.0
28,7a10,0.33333334
29,6a11,1.0
30,7a10,1.0
31,4a9,1.0
32,7a8,1.0
33,3a8,1.0
34,2a7,1.0
35,2a7,1.0
36,2a7,1.0
37,7a12,1.0
38,10a11,1.0
39,5a9,1.0
40,4a9,1.0
41,5a8,1.0
42,11a12,1.0
43,9a10,1.0
44,7a9,1.0
45,5a9,1.0
46,9a10,1.0
47,3a8,1.0
48,3a8,1.0
49,9a10,1.0
50,7a10,1.0
51,7a11,1.0
52,3a5,1.0
53,2a7,1.0
54,3a8,1.0
55,7a9,1.0
