cluster,max_label,max_proportion
0,2a5,0.07017544
1,2a5,0.04639175
2,2a5,0.035928145
3,5a9,0.5
4,11a12,0.115384616
5,11a12,1.0
6,8a11,0.33333334
7,2a7,0.3
8,2a5,0.03837953
9,2a3,0.037894737
10,2a5,0.035820894
11,7a12,1.0
12,2a3,0.035714287
13,7a10,1.0
14,4a9,0.5
15,5a11,0.14285715
16,7a9,0.375
17,9a10,0.30769232
18,7a12,0.5
19,7a12,0.05645161
20,2a5,0.035892323
21,2a3,1.0
22,2a3,1.0
23,2a3,1.0
24,3a8,1.0
25,4a9,1.0
26,4a9,0.125
27,7a9,1.0
28,2a7,1.0
29,8a9,0.75
30,2a3,1.0
31,3a8,1.0
32,4a7,0.33333334
33,7a9,1.0
34,4a9,0.125
35,2a3,0.035785288
36,9a10,1.0
37,7a8,1.0
38,7a11,0.5
39,11a12,0.18181819
40,8a11,0.33333334
41,2a3,1.0
42,9a11,1.0
43,8a11,1.0
44,8a11,1.0
45,7a10,1.0
46,2a3,1.0
47,11a12,1.0
48,11a12,1.0
49,2a3,1.0
50,11a12,1.0
51,7a10,1.0
52,3a8,1.0
53,2a7,1.0
54,2a3,1.0
55,3a8,1.0
56,11a12,1.0
57,7a10,1.0
58,7a10,1.0
59,10a11,1.0
60,5a8,0.5
61,7a12,1.0
62,4a9,0.5
63,11a12,1.0
64,2a3,1.0
65,7a12,1.0
66,10a11,1.0
67,2a7,1.0
68,2a7,1.0
69,7a10,1.0
70,3a8,1.0
71,3a8,1.0
72,9a10,1.0
73,2a3,1.0
74,2a3,0.036144577
75,7a11,0.5
76,3a5,1.0
77,6a11,1.0
78,5a11,0.16666667
79,7a8,1.0
80,3a8,1.0
81,8a11,1.0
82,2a3,1.0
83,2a3,1.0
