cluster,max_label,max_proportion
0,2a5,0.06282722
1,2a3,0.10576923
2,10a11,0.05381166
3,2a7,0.06806283
4,2a3,0.24844721
5,7a12,0.044444446
6,3a7,0.0513834
7,4a5,0.06521739
8,5a9,0.051948052
9,2a7,0.056603774
10,3a4,0.06842105
11,10a11,0.05090909
12,4a9,0.050847456
13,10a11,0.05668016
14,9a10,0.0625
15,2a7,0.06666667
16,2a7,0.056737587
17,10a11,0.102564104
18,7a9,0.05263158
19,2a3,0.13475177
20,5a11,0.049382716
21,9a11,0.062200956
22,2a3,0.17449665
23,5a11,0.056338027
24,6a11,0.060606062
25,3a4,0.054421768
26,4a5,0.062992126
27,7a9,0.052863438
