cluster,max_label,max_proportion
0,4a5,0.07638889
1,2a3,0.09677419
2,2a5,0.12727273
3,4a9,0.069767445
4,2a7,0.11764706
5,4a9,0.057142857
6,4a5,0.07462686
7,2a5,0.092307694
8,4a9,0.08695652
9,2a3,0.14035088
10,7a10,0.062068965
11,2a5,0.101265825
12,2a3,0.42424244
13,10a11,0.083333336
14,5a9,0.05042017
15,2a5,0.06306306
16,3a7,0.06666667
17,2a3,0.38333333
18,9a10,0.06818182
19,6a7,0.062992126
20,7a8,0.083333336
21,7a8,0.1
22,7a8,0.082474224
23,6a7,0.06349207
24,5a11,0.06944445
25,11a12,0.12
26,2a7,0.08510638
27,2a5,0.06153846
28,7a8,0.08955224
29,4a5,0.09259259
30,5a11,0.08510638
31,4a9,0.115384616
32,9a10,0.11111111
33,9a11,0.097222224
34,2a7,0.08450704
35,3a4,0.072463766
36,2a5,0.09803922
37,10a11,0.12
38,11a12,0.11111111
39,2a3,0.22222222
40,4a9,0.06306306
41,7a12,0.06451613
42,2a7,0.051282052
43,10a11,0.08695652
44,4a5,0.10526316
45,2a7,0.24
46,5a6,0.06557377
47,11a12,0.16981132
48,11a12,0.11111111
49,2a3,0.2
50,5a7,0.073529415
51,4a9,0.078431375
52,3a8,0.069767445
53,3a4,0.12903225
54,2a5,0.16216215
55,3a5,0.11764706
56,5a11,0.057142857
57,3a7,0.083333336
58,3a8,0.071428575
59,5a7,0.06666667
60,2a5,0.0882353
61,9a11,0.05882353
62,11a12,0.13333334
63,7a8,0.0882353
64,4a9,0.074074075
65,9a11,0.13043478
66,4a5,0.075
67,8a9,0.071428575
68,2a3,0.09677419
69,2a7,0.16129032
70,8a9,0.1
71,2a7,0.07692308
72,3a8,0.08571429
73,5a11,0.11111111
74,7a12,0.067669176
75,7a8,0.11111111
76,2a7,0.08108108
77,3a4,0.16666667
78,3a4,0.078947365
79,6a11,0.083333336
80,4a7,0.0882353
81,7a9,0.11111111
82,3a8,0.115384616
83,7a9,0.083333336
