cluster,max_label,max_proportion
0,3a4,0.06349207
1,2a3,0.10891089
2,11a12,0.06334842
3,7a8,0.057591625
4,3a4,0.06521739
5,9a11,0.07692308
6,2a3,0.094827585
7,2a5,0.05035971
8,11a12,0.12
9,2a5,0.07368421
10,2a3,0.09166667
11,8a9,0.06417112
12,11a12,0.073529415
13,2a3,0.17307693
14,2a3,0.16949153
15,5a6,0.07339449
16,2a7,0.08974359
17,2a3,0.12857144
18,3a8,0.06140351
19,11a12,0.10666667
20,2a5,0.10344828
21,5a8,0.05882353
22,7a11,0.072222225
23,2a7,0.08510638
24,8a11,0.0875
25,2a7,0.06849315
26,2a3,0.06741573
27,2a5,0.08955224
28,2a3,0.1923077
29,9a10,0.083333336
30,2a3,0.18032786
31,11a12,0.083333336
32,10a11,0.06716418
33,2a3,0.20408164
34,2a3,0.14285715
35,8a9,0.069767445
36,2a5,0.09803922
37,8a11,0.13333334
38,5a6,0.06
39,11a12,0.15
40,6a7,0.0625
41,7a12,0.0882353
42,2a5,0.104166664
43,5a9,0.1
44,8a9,0.057692308
45,6a7,0.06382979
46,5a11,0.056338027
47,2a5,0.11363637
48,4a5,0.08
49,2a7,0.06382979
50,2a3,0.33333334
51,10a11,0.07692308
52,6a7,0.06930693
53,8a11,0.16666667
54,5a6,0.067567565
55,5a9,0.15789473
