cluster,max_label,max_proportion
0,2a3,0.0625
1,8a9,0.057692308
2,8a11,0.049773756
3,9a10,0.08695652
4,11a12,0.13846155
5,5a6,0.05479452
6,3a4,0.07619048
7,8a11,0.061643835
8,4a5,0.069565214
9,2a3,0.104477614
10,2a3,0.17857143
11,4a9,0.12727273
12,3a4,0.08196721
13,2a7,0.07368421
14,7a10,0.082840234
15,2a3,0.12698413
16,2a3,0.18
17,11a12,0.10666667
18,3a5,0.07692308
19,11a12,0.083333336
20,3a5,0.07042254
21,2a3,0.16949153
22,2a3,0.11111111
23,9a10,0.10810811
24,2a3,0.15625
25,2a7,0.12
26,2a3,0.1632653
27,9a11,0.074074075
28,7a12,0.07042254
29,2a7,0.06593407
30,7a11,0.054945055
31,2a7,0.057142857
32,9a11,0.0945946
33,7a8,0.07079646
34,5a11,0.078431375
35,7a12,0.15789473
36,4a5,0.09677419
37,10a11,0.07317073
38,2a7,0.1
39,5a11,0.05263158
40,2a3,0.2
41,4a9,0.053333335
42,2a5,0.125
43,2a5,0.07936508
44,8a11,0.125
45,6a7,0.057377048
46,9a10,0.104477614
47,8a11,0.115384616
48,3a5,0.07462686
49,9a10,0.083333336
50,9a11,0.102564104
51,11a12,0.15
52,3a4,0.15625
53,5a11,0.06666667
54,2a3,0.15625
55,8a9,0.09259259
56,2a3,0.22727273
57,8a11,0.16666667
58,2a3,0.26923078
59,2a3,0.19512194
60,5a9,0.078947365
61,7a12,0.09411765
62,5a6,0.06
63,9a11,0.16666667
64,7a8,0.07368421
65,3a7,0.08571429
66,2a5,0.09375
67,5a7,0.083333336
68,7a10,0.078431375
69,2a3,0.17857143
