cluster,max_label,max_proportion
0,4a5,0.078947365
1,7a8,0.06153846
2,9a10,0.06666667
3,4a9,0.04761905
4,2a7,0.084745765
5,11a12,0.074074075
6,2a3,0.35
7,2a7,0.083333336
8,6a7,0.056603774
9,5a11,0.064935066
10,4a5,0.065789476
11,2a5,0.10526316
12,7a8,0.071428575
13,4a5,0.06896552
14,3a8,0.09090909
15,7a8,0.10784314
16,10a11,0.07692308
17,2a3,0.17021276
18,3a8,0.058139537
19,2a5,0.10526316
20,7a9,0.078431375
21,2a7,0.11764706
22,7a10,0.09090909
23,5a11,0.058252428
24,2a3,0.22580644
25,2a5,0.08108108
26,7a11,0.077922076
27,2a7,0.071428575
28,2a3,0.12195122
29,3a4,0.07017544
30,2a3,0.25
31,4a7,0.054945055
32,4a9,0.07317073
33,4a9,0.092307694
34,6a7,0.0862069
35,10a11,0.16666667
36,3a4,0.08
37,2a3,0.12820514
38,3a4,0.0754717
39,4a9,0.06521739
40,3a4,0.125
41,2a7,0.08108108
42,10a11,0.15384616
43,2a7,0.07272727
44,7a8,0.1724138
45,7a8,0.07777778
46,10a11,0.16666667
47,7a12,0.125
48,2a3,0.10169491
49,7a8,0.09677419
50,2a7,0.13333334
51,10a11,0.06666667
52,11a12,0.1
53,2a7,0.18181819
54,7a8,0.06849315
55,4a7,0.0952381
56,4a5,0.09090909
57,9a10,0.115384616
58,4a9,0.06451613
59,2a7,0.102564104
60,11a12,0.14285715
61,8a11,0.08695652
62,3a4,0.075
63,2a5,0.14285715
64,10a11,0.055555556
65,4a9,0.075
66,3a4,0.1521739
67,3a8,0.057142857
68,9a10,0.074074075
69,2a3,0.069767445
70,2a7,0.11363637
71,2a5,0.13793103
72,11a12,0.12676056
73,7a12,0.11764706
74,3a5,0.2
75,7a10,0.102564104
76,2a7,0.069767445
77,2a3,0.41666666
78,2a5,0.11904762
79,11a12,0.13333334
80,5a6,0.06818182
81,5a11,0.07692308
82,5a11,0.10714286
83,3a8,0.06666667
84,4a9,0.057971016
85,2a3,0.4117647
86,3a8,0.071428575
87,2a7,0.08108108
88,11a12,0.11111111
89,2a7,0.14285715
90,4a9,0.08571429
91,2a7,0.083333336
92,5a11,0.051282052
93,7a9,0.07317073
94,5a11,0.16666667
95,2a3,0.29411766
96,2a5,0.2857143
97,5a11,0.08695652
